
WATCH THE HIVEMIND HERE: http://www.twitch.tv/angrydraco 

*** NOTE ***

This is a snap shot for the hour before Anarchy was restored. All names
listed may or may not be human, they are everyone who contributed inputs
for the past hour. At point of interest I took this snap to help others
identify and witness the clone bots motives.

EDIT: Typos.

*** END NOTE **

-- FULL LIST AUTOMATICALLY GENERATED FROM HIVEMIND -- 
Names listed are those ACTIVE for the past 20 minutes as of (16D 20H - Suspect Snapshot) - UTC: 21:26:09.668

CORE VERSIONING - playerData: b130 DEV | dataPacket: b120 DEV | dataCounts: b130 DEV | Analysis is now implemented as playerData.fastAnalyze<Troll|Bot>() | 

-- INPUT COUNTS ARE FROM THE PAST HOUR -- 

OF THE 1178 USERS... 1129 HAVE AT LEAST 1 INPUTS

IN	Θ60	Θ15	Θ2	LEFT	RIGHT	UP	DOWN	A	B	St	Sel	L	R	Wait	Demo	Anarch	Riot	Chat	Yes	No	σ	(σ-μ)	μT	σT	USERNAME
728	593	181	18	    	60.0	187.0	    	4.0	    	477.0	    	    	    	0	0	0	0	2	0	0	117.6	74.8	4.9	15.6	troll_dot_exe
635	87	9	3	10.0	150.0	112.0	165.0	5.0	28.0	165.0	    	    	    	0	0	0	0	45	0	0	62.6	25.2	5.3	7.9	iantern
632	26	2	0	68.5	4.0	91.5	48.0	270.5	105.5	3.0	    	    	    	40	0	1	0	11	1	0	67.6	30.4	5.6	15.3	ryokokonut
603	64	2	0	10.0	6.5	19.0	19.7	121.7	399.5	24.7	    	    	    	0	1	2	0	24	0	0	95.3	59.8	5.7	9.4	meibomio1
584	110	6	15	    	7.0	93.5	72.2	36.5	292.8	    	    	    	    	0	0	82	0	6	0	0	71.8	37.4	6.1	13.7	peralejok
580	119	15	12	    	5.0	88.0	75.0	37.0	289.0	    	    	    	    	0	0	86	3	8	0	0	71.0	36.7	6.1	11.9	war0blade
514	20	39	0	10.5	12.5	2.5	100.0	125.5	86.0	    	    	    	    	37	4	136	0	14	0	1	47.1	16.9	6.7	22.7	rayenc
481	61	30	20	    	0.3	    	3.3	12.0	383.3	5.0	    	    	    	0	0	77	0	16	0	0	90.6	62.3	5.4	10.1	psy_commando
453	13	4	25	1.0	8.0	25.0	    	140.7	138.7	138.7	    	    	    	0	1	1	1	61	0	0	52.4	25.6	7.0	32.1	hagopimaniac
422	27	8	6	10.0	    	103.0	30.0	45.0	17.0	181.0	    	    	    	0	0	36	1	51	0	0	46.9	22.0	7.6	26.9	crayolan
398	22	2	3	7.0	6.0	199.0	    	185.0	    	    	    	    	    	0	1	0	0	6	0	0	61.6	38.2	8.9	32.7	risukasa3
383	38	20	2	20.5	27.0	49.5	9.0	24.5	168.5	9.0	    	    	    	0	0	75	0	41	0	0	41.8	19.3	8.5	38.9	d_boumbo
372	13	35	0	9.0	65.5	187.5	    	110.0	    	    	    	    	    	0	0	0	0	3	0	0	50.6	28.7	9.6	51.9	k1kk_
303	24	5	3	20.5	24.5	23.5	20.5	214.0	    	    	    	    	    	0	0	0	0	0	0	0	49.9	32.1	11.8	8.2	johnplaystwitch
291	152	15	0	38.5	8.0	34.5	28.5	106.5	74.0	1.0	    	    	    	0	0	0	0	0	0	0	30.1	13.0	12.4	5.2	neveven
289	41	5	0	19.0	21.0	22.5	20.0	206.5	    	    	    	    	    	0	0	0	0	0	0	0	48.2	31.2	12.5	8.2	poipoipoipoizzz
283	110	7	4	44.0	8.0	35.5	25.0	95.5	75.0	    	    	    	    	0	0	0	0	0	0	0	28.6	12.0	12.7	6.2	syrupofjemima
282	121	4	0	41.5	7.5	35.0	22.5	102.0	73.5	    	    	    	    	0	0	0	0	0	0	0	29.3	12.7	12.8	6.4	dundee627
281	105	1	0	34.0	11.5	36.0	29.5	104.5	64.5	1.0	    	    	    	0	0	0	0	0	0	0	28.6	12.1	12.8	5.9	swordsfor400
280	98	3	0	31.5	11.0	41.5	27.5	99.5	69.0	    	    	    	    	0	0	0	0	0	0	0	28.3	11.8	12.9	6.3	thegolfshoes
279	109	7	1	39.0	8.5	35.0	28.5	96.0	72.0	    	    	    	    	0	0	0	0	0	0	0	28.1	11.7	12.8	6.3	becomeneck
276	82	1	0	37.5	8.5	40.5	23.0	96.5	70.0	    	    	    	    	0	0	0	0	0	0	0	28.1	11.9	13.1	7.4	turnawaywfs
270	10	0	2	    	    	183.5	    	83.5	    	2.0	    	    	    	0	0	1	0	0	0	0	46.2	30.3	6.3	40.5	crashwriter
